Issue Number,Issue Title,Time to Close,Number of Assignees,Number of Comments,Number of Labels,Type of Issue
56839,Tensorflow add new device runtime like cuda?,21,1,6,5,['Other']
56838,Tensorflow lite examples Java ,15,1,6,5,['Other']
56837,`tf.config.set_logical_device_configuration` not working when attempting to create multiple virtual GPUs,29,1,8,5,['Bug']
56835,Tflite ios batch_size greater than 1 not working,16,1,6,5,['enhancement']
56834,fail to import tensorflow_recommenders in google colab,14,1,4,4,['Other']
56832,Different outputs at inference when different versions of TensorFlow are used to perform quantization during conversion to .tflite,9,2,9,3,['Bug']
56830,`tf.math.reduce_std` have wrong gradient when input has only one element,81,1,6,5,['Bug']
56822,"tf.linalg.eigh provides inaccurate results, conflicting with tf.linalg.eig",0,1,2,1,['Bug']
56820,Different result in tflite conversion,21,1,11,6,['Bug']
56818,"TFlite android inference produces slightly different results for the same input, is it normal?",91,2,15,5,['Bug']
56817,Bulding Tensorflow Lite on ubuntu 16.04 (GCC 5.4.0),14,1,4,5,['Other']
56815,TF should use protobuf 4,15,1,5,5,['Other']
56814,[TF.io] Incompatible with AWS S3 filepaths,30,1,7,5,['enhancement']
56810,Error in loading  TF model ,1,1,4,4,['Bug']
56808,openCL delegate generates '0' and 'random' values with 'tf.stack',1,1,5,3,['Bug']
56805,Test failure: //tensorflow/compiler/mlir/lite/tests:ops.mlir.test,6,1,3,4,['Bug']
56804,(CONCATENATION) failed to prepare,100,3,27,5,['Bug']
56803,"Error fetching projector config Cannot fetch projector config, possibly a Cross-Origin request error.",15,1,4,3,['Bug']
56802,Saving the output of detected objects in file,1,1,4,3,['Other']
56798,Android use a view as input ,39,1,9,5,['Other']
56797,Android OTG camera access,18,1,10,5,['Other']
56796,`l2_normalize` has wrong gradient when input is zero,66,1,12,4,['Bug']
56794,tensorflow bazel build fatal error C1060: compiler is out of heap space,18,1,4,6,['Bug']
56786,Using static_rnn error,19,1,6,5,['Bug']
56785,Support INT8 for tf.split and tf.one_hot,55,1,9,4,['enhancement']
56782,GPU much slower than CPU for text processing using tensorflow-macos,24,1,9,5,['Other']
56777,coreml output,0,1,0,0,['Other']
56775,Model save repetition causes threading synchronization issue,0,1,3,2,['Other']
56774,python implementation of tf.io.gfile.isdir exhibits different behavior than c++ implementation,34,1,12,5,['Bug']
56773,"Error during fit on distributed dataset with multiple GPUs. ""ValueError: When providing a distributed dataset, you must specify the number of steps to run.""",4,1,9,3,['Bug']
56770,Error Tensorflow lite model -android studio,14,1,4,5,['Bug']
56768,Unpredictable behaviour of tracked variables in subclassing layers and models,3,1,5,4,['Bug']
56767,Cannot convert to unidirectional_sequence_rnn op in tflite,14,1,4,6,['Other']
56763,"label_image:undefined reference to `tensorflow::str_util::EndsWith(absl::lts_20211102::string_view, absl::lts_20211102::string_view)'",4,1,3,4,['Bug']
56757,MultiHeadAttention instances within custom layers do not receive weights when loaded with SavedModel format,4,1,4,4,['Bug']
56756,cannot import name 'anchor_generator_pb2' from 'object_detection.protos',14,1,5,4,['Other']
56755,TF Windows build failing on Bazel CI with Bazel HEAD,1,1,3,3,['Other']
56754,Wrong forward gradient in `tf.autodiff.ForwardAccumulator` for `tf.sign`,58,1,3,4,['Bug']
56751,tf.image.decode_image() fails for BMP with additional header-information,15,1,4,5,['Bug']
56750,docs: Google Colab button at the top of this page,1,1,2,1,['Other']
56748,"some numpy operation(FFT,FFT2d,RFFT,RFFT2d) failed when building a model ",6,1,6,4,['Bug']
56747,TensorflowLite model can't run on Hexagon DSP device. Failed to apply delegate: Failed: Failed to execute graph.. ERROR: Node number 557 (TfLiteHexagonDelegate) failed to invoke.,43,2,15,5,['Bug']
56746,[`tf.data` - `from_generator()` and `.interleave()`] - Funky Behavior,20,2,10,5,['Bug']
56742,"Different TensorFlow Keras Code with same logic, tend to show very different behaviour.",3,1,3,4,['Other']
56740,_ragged_tensor_to_tensor_grad() fails in eager mode under some circumstances,15,1,4,5,['Bug']
56737,Bug in `tf.autodiff.ForwardAccumulator` for `tf.signal.mdct`,59,1,3,4,['Bug']
56736,DepthwiseConv2D does not support bfloat16,23,1,6,5,['Bug']
56734,"How to flat the model about TFLite and remove the ""while"" loop?",22,1,11,6,['Other']
56732,openCL delegate generates '0' and 'inf' values with reduce_sum,5,1,10,3,['Bug']
56731,"TF fails to build on CPU when compiled with ""-march=skylake-avx512"" flag",1,2,5,3,['Other']
56729,Difference in accuracy between EDGE TFLite Model and Quant TFLite Model.,14,1,3,5,['Other']
56727,RuntimeError: tensorflow/lite/kernels/read_variable.cc:74 variable_tensor->type != output->type (INT8 != FLOAT32)Node number 10 (READ_VARIABLE) failed to invoke.,1,1,7,4,['Bug']
56725,'No toolchains found' when building libtensorflow on FreeBSD 13,23,1,17,5,['Other']
56724,raw_rnn equivalent in tensorflow 2.0,18,1,6,5,['Other']
56723,__array_interface__ support?,47,1,3,4,['enhancement']
56722,Has a conda-forge pull request been submitted for TF 2.9?,7,1,7,3,['Other']
56720,RuntimeError: tensorflow/lite/kernels/concatenation.cc:158 t->dims->data[d] != t0->dims->data[d] (0 != 1)Node number 60 (CONCATENATION) failed to prepare.Failed to apply the default TensorFlow Lite delegate indexed at 0.,23,1,8,6,['Bug']
56719,Issues when updating the code from tf1 to tf2,14,1,3,4,['Other']
56718,"'keras.api._v1.keras.layers' has no attribute 'conv2d' how can I fix this issue please? (I'm trying to change my code from tf1 to tf2, I changed all tf.layers to tf.keras.layers since in tf2 keras is the High level API and I had this error message, how can I fix it? ",16,1,4,4,['Bug']
56713,Numpy 1.23.0 causes unit test failures,12,1,2,2,['Bug']
56711,"A error occured when using dense_to_ragged_batch in TFRecordDataset, is't a bug?",13,1,8,4,['Bug']
56710,"Greater(nextafter(x), x) returns False",54,1,10,4,['Bug']
56709,Problem using Metal delegate on iPhone 13 mini,70,2,12,4,['Bug']
56706,AttributeError: module 'tensorflow.compat.v2.__internal__.distribute' has no attribute 'strategy_supports_no_merge_call' #53510,12,1,8,2,['Bug']
56703,Custom Op written in C API errors when requesting GPU_Device stream,14,1,3,5,"['Bug', 'enhancement']"
56702,model gets 100% validation accuracy in the first epoch after keyboard interrupting previous model training.,14,1,4,5,['Other']
56700,Saving and Loading a Dataset returns a different elements,0,1,3,3,['Bug']
56699,JAX lib dependency for Tensorflow builds on M1 (ERROR: No matching distribution found for jaxlib~=0.1.75),0,1,5,2,['Bug']
56696,tf.sparse.reshape cannot deal with tf.keras.Input(sparse=True),138,3,7,5,['Bug']
56695,object is not callable,14,1,4,3,['Other']
56694,`tf.image.rgb_to_hsv` fails on back prop when dtype is double,105,1,5,3,['Bug']
56690,TF 2.9.1 GPU not detected,0,1,2,1,['Bug']
56689,disable_resource_variables is deprecated,0,1,5,3,['Bug']
56687,python/kernal_tests/linalg/tridiagonal_solve_op_test.py test fail,11,1,6,4,['Bug']
56686,MBv3 conversion: How to turn off hard swish optimization,82,3,4,5,['Other']
56684,Training with MultiWorkerMirrorredStrategy crashes in TF 2.9,16,1,4,5,"['Critical', 'Bug']"
56683,tflite_runtime problem on Arm64 linux with multiprocessing,14,1,4,5,['Bug']
56681,"In tensorflow2.6, when in my keras.model uses yaml to load data, it will turn the array into a listener",16,1,7,5,['Bug']
56680,Conv2D returns empty tensor of type float32 in case of bfloat16 input.,59,1,9,4,['Bug']
56679,Differing Tensorflow versions when checking,16,1,23,5,['Other']
56678,Tensorflow failed to build on MSVC with message Executing genrule //tensorflow:tf_python_api_gen_v2 failed: (Exit 1): bash.exe failed: error executing command ,10,1,7,3,['Bug']
56677,What is the difference between model.__call__ on TensorSpec and Tensor,37,1,14,4,['Other']
56676,Save and load model within MirroredStrategy,23,1,8,4,['Bug']
56674,Tensorflow predict() is accurate on single sample but giving strange results when predicting on dataset,16,1,7,5,['Other']
56673,"Unit test fails to build, others fail on AARCH64 after XLA CPU backend enhancements",100,1,19,3,['enhancement']
56672,AutoGraph could not transform function,28,1,10,5,['Other']
56670,can't reduce binary size(tflite),0,1,4,4,['Other']
56669,_self_tracked_trackables in base_layer.py should not record it self,16,1,9,5,['Bug']
56668,[On device learning] Use model.fit() when pretraining in VGG16,143,2,5,5,['Other']
56666,Can't pickle optimizer,1,1,6,4,['Other']
56665,tflite_convert error,1,1,12,4,['Bug']
56662,The Height and Width must be changed in tensorflow document on the website ,23,1,5,3,['Bug']
56659,Eree,0,1,1,0,['Other']
56658,OSError: symbolic link privilege not held  when use bazel build tensorflow,0,1,1,1,['Bug']
56657,Gradient Tape (tf.GradientTape) Returning All 0 Values in GradCam,22,1,8,5,['Bug']
56652,Grappler Errors with ConvLSTM2D,2,1,4,4,['Bug']
56650,Was my TensorFlow installation a success?,16,1,6,5,['Other']
56649,"Tensorflow just ""hangs"" on new installation (cpu and gpu)",150,1,11,4,['Other']
56648,How to predict a TPU-distributed dataset?,16,1,4,5,['Other']
56646,"How to convert tf.data.Dataset column which is converted into byte, back to string?",16,1,4,5,['Other']
56644,tf.distribute.MirroredStrategy - suggestion for improving test mean_iou for segmentation network using distributed training,7,1,4,5,['Other']
56643,tflite GRU ops not found error,15,1,4,5,['Bug']
56640,Cannot use LSTM with a photo input,20,1,7,5,['Bug']
56639,Build Error: cannot convert ‘float*’ to ‘float_t*’ {aka ‘long double*’} in assignment,9,1,6,4,['Bug']
56638,Keras saved model with custom layer under MirroredStrategy scope cannot be used correctly,60,1,13,5,['Other']
56637,how to obtain a single pb file in tensorflow 2.x,14,1,5,5,['Other']
56635,TF TESTs failures: //tensorflow/lite/kernels:squeeze_test  //tensorflow/lite/kernels:reshape_test,18,1,5,5,['Bug']
56630,TF build fails with the new cublas_lt commit,42,1,2,4,['Other']
56623,TF test failure: //tensorflow/lite/kernels/shim:shape_test,32,2,6,5,['Other']
56618,A small typo in `graph_properties.cc`,50,1,2,2,['Bug']
56616,"ImportError: dlopen(/Users/nurujjamanpollob/miniforge3/lib/python3.9/site-packages/tensorflow/python/_pywrap_dtensor_device.so, 0x0002): Symbol not found: __ZN10tensorflow31MaybeRaiseExceptionFromTFStatusEP9TF_StatusP7_object",0,1,4,4,['Bug']
56610,Could not find device for node: {{node Qr}} = Qr[T=DT_HALF],35,1,9,5,['Bug']
56608,trap invalid opcode in libtensorflow_io_plugins.so,0,1,2,2,['Other']
56607,Request a demo about tensorflow C++ 2.x for inference ,14,1,4,4,['enhancement']
56603,MKL use cannot be disabled ,1,1,3,4,['Bug']
56600,Poor performance of tensorflow higher versions,14,1,3,5,['Other']
56599,Basic Keras model underperforming against Scikit-Learn MLPRegressor model,44,1,8,5,['Other']
56593,tensorflow:AutoGraph could not transform lambda and will run it as-is.,20,1,7,5,['Bug']
56590,Getting different results with cpu and gpu delegate,16,1,6,6,['Bug']
56589,ValueError: Duplicate node name in graph: 'model/lambda_16/zeros/packed',15,1,4,5,['Bug']
56588,How to convert saved model to tflite format model partly?,122,3,8,6,['Other']
56587,Clip weight values when converting to int8 tflite models,14,1,4,6,['Other']
56585,build tensorflow from source file get error,21,1,13,5,['Bug']
56583,How to convert my object detection dataset to Tensorflow COCO format,7,1,5,4,['Other']
56582,SavedModelBundle object instantiation raises protobuf error,17,1,3,5,['Bug']
56579,TPU: unknown service tensorflow.WorkerService,18,1,4,5,['Other']
56577,"    ValueError: Shapes (None, 21) and (None, 1, 1, 21) are incompatible",16,1,4,5,['Bug']
56576,Why does object-detection script require audio software?,18,2,3,5,['Other']
56575,Add `cdist` - an analog of `scipy.cdist` | `torch.cdist`,37,1,7,3,['enhancement']
56574,"when using tflite gpu delegate C++ to inference model on mobile devices, it reports ""Failed to modify graph with delegate""  ",2,1,4,5,['Other']
56569,finished,0,1,1,1,['Other']
56567,tf.scatter_nd doesn't support int32 updates when some indices are out of bounds,24,1,7,5,['Bug']
56565,Indexing a ragged tensor over a non-ragged index fails in tf.keras.Model,16,1,4,5,['Bug']
56564,how to close the profiler feature,14,1,3,5,['enhancement']
56562,ImportError: ../lib/libstdc++.so.6: version `GLIBCXX_3.4.30' not found,18,1,4,5,['Bug']
56561,Issue with Tensorflow Binary and oneAPI while flask deployment,0,1,3,2,['Other']
56560,Compiled code executes wrong branch,19,1,6,5,['Bug']
56559,how to solve 'TMP' environment variable when compile tensorflow source files,16,1,5,5,['Other']
56558,some questions about tflite with gpu delegates,0,1,7,4,['Question']
56556,BatchNormalization with virtual_batch_size breaks load_model(),0,1,3,4,['Bug']
56555,Different result of cross entropy loss between result from model as function and using predict function,6,1,4,4,['Bug']
56554,Issue with building Tensorflow with NCCL from source,2,1,5,4,['Other']
56549,Duplicate logging messages after calling `model.save()`,5,1,4,5,['Bug']
56548,iOS uses 100%+ CPU to run tflite,52,2,12,4,['Other']
56544,"ValueError: `validation_split` is only supported for Tensors or NumPy arrays, found following types in the input: [<class 'int'>]",14,1,5,5,['Bug']
56540,An error occurred during the fetch of repository 'llvm-project':,2,1,20,3,['Bug']
56537,6d transpose not supported by TFLite GPU delegate,0,2,4,5,['Bug']
56536,Tensorflow unable to find custom protobuf install location on OSX,15,1,4,5,['Other']
56534,Use different Optimizers for two branches of a network. Branches use each other to output results when finally calculating Loss,11,1,7,3,['Other']
56533,Tensorflow lite GPUDelegate with Android API 31,21,2,9,5,['Bug']
56532,Conda-forge release of tensorflow 2.x for win-64,16,1,8,4,['enhancement']
56529,Tensor Flow gives different results on INTEL and AMD CPUs,56,1,17,4,['Bug']
56527,"""Cannot convert a symbolic Tensor ({}) to numpy array""",15,1,7,5,['Other']
56522,error: use of undeclared identifier 'posix_fallocate' when cross compiling from darwin_arm64 to darwin_x64_86,0,1,2,2,['Bug']
56520,[TF 1.x] Cannot print tensors whose operations have been executed from modules in anotehr file,16,1,4,5,['Other']
56519,"tf.linalg.inv does not support ""half"" datatype",150,2,5,4,['Bug']
56517,UNKNOWN: KeyError: 331 in `tf.data.Dataset`,37,1,6,5,['Bug']
56515,Can you help me find the links about the calling of pretrained moder for inference under C++ environment,16,1,4,6,['Other']
56513,Data Sharding doesn't work with MultiworkerMirroredStrategy for distributed training,21,1,3,3,['Other']
56512,"What is the role of ""WriteToInputTensor"" function in tf lite gpu delegate example?",1,2,4,4,['Other']
56509,Create Tensor from even and odd Tensors,44,1,8,4,['Other']
56507,Create Tensor from even and odd Tensors,0,1,2,1,['Other']
56506,tf.keras.backend.ctc_decode merging repeated characters by default,16,1,7,5,['Bug']
56505,Type INT16 is unsupported by op Rsqrt.Node number 12 (RSQRT) failed to prepare.,7,1,14,4,['Other']
56503,Tensorflow-lite breaks after installing Flatbuffers,17,1,5,5,['Other']
56502,Deleted question,0,1,4,2,['Question']
56501,Question on the implementation of BMM (batched matmul),15,1,3,6,['Question']
56500, OverflowError: int too large to convert to float,0,1,2,3,['Bug']
56498,tf.raw_ops.DepthwiseConv2dNative ignores dilation values,26,1,9,4,['Bug']
56496,TensorFlow Lite in Play Services issue,0,1,0,0,['Other']
56492,Error: Convert a SavedModel,1,1,7,3,['Bug']
56491,"TypeError: a bytes-like object is required, not 'TFLiteSavedModelConverterV2'",0,1,1,2,['Bug']
56490,tf.data.experimental.service does not stop with repeated dataset,3,1,5,4,['Bug']
56489,Tensorflow model input data type is not available to train it.,0,1,0,3,['Other']
56476,Estimator Training Data Reading Incorrect Values,186,1,5,5,['Bug']
56473,Tensorflow-Macos 2.9.2 Missing OP files,95,1,19,4,['Bug']
56470,Different results on 2.9.1 and 2.8.0,0,1,2,3,['Bug']
56466,Keras model Can't pickle _thread.RLock objects,22,1,10,5,['Other']
56463,Reduction in tflite performance between v2.5 and v2.9,32,2,12,4,['Other']
56462,ktonthat - tech writer testing this template,0,1,1,2,['Bug']
56459,"assemble two model into one, but encount  ValueError: Graph disconnected",14,1,5,5,['Bug']
56458,Demo example Segmentation fault with tf version 2.9.1,182,1,10,5,['Other']
56456,"I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:975] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero",14,1,6,5,['Other']
56454,XLA performance drop when use --xla_dump_to  flag,76,2,18,4,['Bug']
56451,Failed to load delegate from libedgetpu.so.1 M.2 Accelerator with Dual Edge TPU,1,1,4,4,['Bug']
56450,Add ParametricScalar Layer,14,1,3,4,['enhancement']
56449,Lite Model Maker Object Detection not accepting background data,7,1,9,4,['Other']
56448,Saved h5 failed to load with custom layers using hdf5_format,43,1,5,5,['Bug']
56447,Tensorflow load_weights(0 function working in jupyter ntoebook but not in a script,0,1,3,3,['Bug']
56444,Installing Python editable modules in Tensorflow Docker containers,1,1,4,3,['Other']
56442,Improvement of the training follow-up on the progress bar (i did a improvement),20,1,9,5,['Other']
56441,"tf.linalg.qr does not support ""half"" datatype in the latest version",30,1,4,4,['Bug']
56439,How to upgrade Tensorflow-gpu code from 1.14 into Tensorflow-gpu code 2.8.0?,16,1,4,5,['Other']
56438,Take-dataset,17,1,6,4,['Bug']
56432,`crosstool_wrapper_driver_is_not_gcc` error while building tf v2.8.0 and v2.9.0,172,1,22,4,['Bug']
56430,macos build error: no matching function for call to 'LsbMask'     return LsbMask<uint64_t>(bits);,12,1,7,3,['Bug']
56429,resource_variable_ops.variable_accessed can not watch a values.DistributedVariable,3,1,3,4,['Bug']
56428,ModuleNotFoundError: No module named 'tensorflow',15,1,4,3,['Bug']
56427,Confusing wranings when `tf.data.dataset`,2,1,4,4,['Bug']
56426,Executing genrule //tensorflow:tf_python_api_gen_v2 failed: (Exit 1): bash.exe failed: error executing command,18,1,8,4,['Bug']
56425,TFLite - different inference results between Android and python,5,1,6,4,['Bug']
56424,tensorflow.python.framework.errors_impl.NotFoundError: Failed to create a NewWriteableFile:,5,1,4,4,['Bug']
56420,Configuration Error: --define PYTHON_BIN_PATH='C:/Users/user/AppData/Local/Programs/Python/Python39/python.exe' is not executable. Is it the python binary?,17,1,9,5,['Bug']
56419,error! when inferencing my model with tf-lite c++Api. it is well with tf-lite pythonApi,11,2,8,4,['Bug']
56418,`tflite.invoke()` restart the kernel for transformer model (vision),117,2,10,4,['Bug']
56416,tf.device('cpu') does not work under distributed strategies,68,1,9,4,['Bug']
56414,"`reduce_retracing` causing: ""Called a function referencing variables which have been deleted...""",104,1,3,4,['Bug']
56413,Could not load dynamic library 'libcudart.so.11.0',14,1,4,5,['Other']
56410,Tanh giving out of range output.,0,1,3,3,['Bug']
56409,ios TensorFlowLiteCMetal link error,41,2,7,4,['Bug']
56406,Is it possible to sync tensorflow stream_executor's cuda stream with cuda stream outside?,14,1,3,3,['enhancement']
56404,TF.dataset.cache(path) still uses memory despite the cache file path,34,1,12,5,['Bug']
56403,Bug: bad marshal data (unknown type code),0,1,3,4,['Bug']
56398,"put two models in another model, the two models variable names aren't under the another model name scope",0,1,4,3,['Bug']
56397,tf.nn.max_pool2d data_format check is wrong for GPU,36,1,10,5,['Bug']
56396,No gradients provided for any variable,2,1,5,4,['Bug']
56393,DTensor pack/unpack APIs used high device memory,65,2,20,4,['Bug']
56391,tf.data.experimental.load() no longer working,0,1,8,4,['Other']
56389,AttributeError: 'Tensor' object has no attribute 'numpy' while  defining a custom loss,2,1,7,3,['Bug']
56387,VRAM-hungry LSTM monster,6,1,9,4,['Bug']
56385,"Dataset Pipeline determinism when reload, using `batch` `prefetch`",14,2,5,4,['Bug']
56384,TensorFlow Lite label_image build fails,23,1,3,3,['Other']
56383,"Add SimpleMLCreateModelResource, SimpleMLInferenceOpWithHandle to allowed List (Lite Converter)",0,1,3,4,['enhancement']
56382,Custom Op written in C API compilation Issue,13,1,6,2,['enhancement']
56378,ImportError: cannot import name 'full_type_pb2',0,1,3,3,['Bug']
56377,No mechanism to ensure nightly ARM64 CD pipeline passes,20,1,4,4,['Other']
56376,How to install tensorflow v<2.0?,19,1,7,5,['Other']
56372,`DistributedIterator` cannot be checkpointed because it is not trackable,126,1,6,4,['enhancement']
56367,[TensorFlow Lite label_image]  Abort occurs with xnnpack_delegate option.,6,1,3,3,['Bug']
56365,There was a problem quantifying the model with two inputs which have different dimensions.,2,1,11,4,['Bug']
56363,Keras/tensorflow runs only one epoch,0,1,4,4,['Other']
56362,Build from source with cuda support fails,14,1,4,4,['Other']
56359,Simple audio recognition: Recognizing keywords -  'images' must have either 3 or 4 dimensions.,0,1,1,3,['Bug']
56358,F1 score metric,19,1,10,4,['enhancement']
56356,Division not allowed in graph for MacOS with M1 Max,192,1,8,5,['Bug']
56355,Seeing E tensorflow/core/grappler/costs/op_level_cost_estimator.cc:1104] Incompatible Matrix dimensions ,33,1,10,5,['Bug']
56350,"[intel cpu(Sapphire Rapids) ] TF_ENABLE_ONEDNN_OPTS=0 performance is better(intra_op_parallelism_threads=1,  inter_op_parallelism_threads=1)",6,1,0,3,['Other']
56349,Tensorflow argsort sometimes produces non-deterministic results,17,1,6,5,['Bug']
56348,tensorflow has no gfile,16,1,4,3,['Other']
56346,"Locating the numpy include path can ""fail"" incorrectly",3,1,2,1,['Other']
56343,How to use tf.data API with multiple inputs of different shapes,54,1,7,5,['Other']
56341,Incorrect gradient of model output with respect to inputs using GradientTape,28,1,13,5,['Bug']
56337,Character-level seq2seq model for translation and beam search. ,21,1,5,5,['enhancement']
56335,ZeroDivisionError on GradientTape.gradient when computing a loss from concatting scalar values,14,1,4,5,['Bug']
56333,`tf.image.resize_with_pad` raises `InvalidArgumentError` but the behavior is not documented,146,1,10,4,['Bug']
56331,Can Tensorflow provide a hardware training/inference standard for hardware accelerator developers?,134,3,3,4,['enhancement']
56330,Unix wheel URLs are incorrect in TF2.9,0,1,1,3,['Bug']
56329,Generate SSD anchor box aspect ratios using k-means clustering - Tutorial,0,1,5,3,['Bug']
56328,clEnqueueNDRangeKernel failed on TfLiteGpuDelegate for split operation,18,2,11,4,['Bug']
56327,Character-level seq2seq model for translation and beam search.,18,1,6,2,['Other']
56326,"`model.fit(..., verbose=0)` still prints stuff",0,1,3,4,['Bug']
56325,Linking to static libtensorflow-lite.a gives linking errors on Debian x64,0,1,2,3,['Bug']
56324,Can't build tensorflow with cuda_clang ubuntu20,14,1,4,4,['Other']
56323,Can't build tflite for Java,0,1,4,5,['Other']
56319,Dataset created from large ragged tensor doesn't copy values,33,1,7,4,['Bug']
56318,Best image input size for SSD-Models,0,1,4,3,['Other']
56317,"Unit test //tensorflow/compiler/mlir/quantization/tensorflow/python:concurrency_test fails on Python 3.7, 3.8",0,1,3,2,['Bug']
56316,Loading tflite model from a buffer instead of .tflite file,15,1,8,5,['Other']
56312,Training the same model on the same data yielding extremely different test accuracy,13,1,9,4,['Bug']
56310,Tensorflow 2.2 build from source: Executing genrule @local_config_python//:numpy_include failed (Exit 1),15,1,8,5,['Other']
56308,Fails to import tensorflow,0,1,2,3,['Other']
56307,tensorflow.lite.python.convert_phase.ConverterError: device assign error,7,1,7,4,['Bug']
56306,tf.data shard malfunction (drops data) when using from_generator as source,8,2,6,4,['Bug']
56304,How to display custom label with angles in iOS?,20,1,7,4,['enhancement']
56303,tf.keras.layers.Reshape throws segfault ,14,1,4,5,['Bug']
56301,Tflite model not work correctly on NNAPI-GPU delegate,133,3,9,6,['Other']
56300,Ragged Tensor in 'batch_jacobian',80,2,3,3,['enhancement']
56299,Matmul not working on ragged tensors,16,1,8,5,['Bug']
56298,tensorflow cannot import name 'dtensor',7,1,8,5,['Other']
56297,Extract some of the weights in the saved model and assign them to another,19,1,6,5,['Other']
56296,tf.experimental.set_loop_options - shape invariants fail with TPU strategy,79,1,7,5,['Bug']
56294,How to calculate 45 degree standing position of body from camera in swift (Pose estimation),14,1,3,4,['enhancement']
56293,Unable to batch dataset using `.batch` and `.padded_batch`,1,1,4,4,['Bug']
56292,Error in Ragged Tensor Documentation,12,1,8,3,"['Bug', 'Documentation']"
56291,Using mkl on the tensorflow-2.8.0,16,1,4,5,['Other']
56290,Import Locally Cause Resource Leak,26,1,8,4,['Bug']
56288,How to decode numpy ndarray stored as `tf.train.BytesList`,0,1,1,1,['Other']
56286,Library .so file path Custom Ops using C API,20,1,4,5,['Other']
56285,Tensorflow lite bazel build in docker containers fails,7,2,3,4,['Other']
56284,bazel build tensorflow but failed,21,1,8,5,['Other']
56282,Gets stuck in tensorflow.test.is_gpu_available(),3,1,6,4,['Bug']
56280,Potential race condition in nsync library that causes SIGSEGV or deadlock,34,1,8,4,['Bug']
56279,Bad file descriptor error during cleanup of MirroredStrategy model,20,1,5,3,['Bug']
56277,Is it possible to view or dump full tensor values in Debugger V2 GUI (in TensorBoard)?,4,1,4,3,['Bug']
56273,"i can use interpreter.invoke() a tflite well, but edgetpu_compiler show errors about dynamic-sized tensor.",14,1,4,5,['Bug']
56272,TensorArray documentation is misleading,55,1,8,3,"['Bug', 'Documentation']"
56271,no flatbuffer module errors in source of tensorflow,12,1,10,4,['Bug']
56270,"TensorFlow core operator ExtractImagePatches , not supported",1,1,2,3,['enhancement']
56266,New released protobuf +v3.20 causes an error when importing ,0,1,2,1,['Bug']
56265,is it possible to calculate Body degree angle using pose estimation,14,1,3,4,['enhancement']
56262,Getting the bounding box coordinates on tensorflow lite ,0,1,5,3,['Other']
56260,Using front camera for android with tensorflow lite,11,1,10,4,['Bug']
56258,"Dataset from generator is far slower than from tensor slices, anything I can improve?",58,2,14,4,['Other']
56257,parameters in XML file comparison,35,1,6,5,['Other']
56256,Remove fake quant node,14,1,6,5,['Other']
56255,tflite nightly/2.9.1 on iOS (CocoaPods) linker/build issue,98,2,21,4,['Other']
56253,"converter.convert() to a tflite file sucessfully, but interpreter.invoke() raise RuntimeError: Regular TensorFlow ops are not supported by this interpreter. Make sure you apply/link the Flex delegate before inference.Node number 5 (FlexSize) failed to prepare.",1,1,7,4,['Bug']
56252,convert to TF-Lite ValueError: Cannot iterate over a shape with unknown rank,0,1,6,3,['Bug']
56251,TF Lite Ondevice Training - Training Problem With Fashion MNIST,26,2,1,5,['Other']
56250,Multiple problems building TFLite 2.9.1,27,1,16,5,['Other']
56248,Unable to automatically fuse nested loop,14,1,3,4,['Other']
56247,ImportError: /home/smartcane/anaconda3/lib/python3.9/site-packages/tensorflow/python/_pywrap_tensorflow_internal.so: undefined symbol: PyCMethod_New,19,1,4,5,['Bug']
56245,tf.keras.initializers.TruncatedNormal is not available when using tf.keras.models.load_model,0,1,5,4,['Bug']
56243,Extract some of the weights in the saved model and assign them to another,14,1,4,4,['Other']
56241,parameters in XML file comparison,2,1,3,2,['Other']
56240,"Invalid argument: No OpKernel was registered to support Op 'PyFunc' used by {{node PyFunc}}with these attrs: [Tin=[DT_FLOAT], Tout=[DT_INT32], token=""pyfunc_0""] Registered devices: [CPU, GPU] Registered kernels:   <no registered kernels>  	 [[PyFunc]]",19,1,10,5,['Other']
56239,Memory leak in TfLiteModelCreateFromFile() in tflite v2.8.0 GNU Linux x86-64,0,2,1,4,['Other']
56235,GPU can not be identified when using Tensorflow 2.4./2.5 with CUDA11.6,14,1,6,5,['Bug']
56233,Mapping a dataset squashes class_names from image_dataset_from_directory,7,1,4,5,['Bug']
56232,tensorflow 1 is much slower than 2 with tf.data.Dataset.from_tensor_slices,14,1,3,5,['Other']
56230,non-DMA-copy attempted of tensor type: string error when trying to run roberta-base example from tfhub,2,1,3,3,['Bug']
56229,Dataset has no attribute load,7,1,4,3,['Bug']
56228,Unexpected behavior when using DatasetCreator with respect to sharding,14,1,6,5,['Bug']
56226,Cholesky decomposition half precision either does not work or wrong documentation.,91,1,6,5,"['Bug', 'Documentation']"
56225,Function similar to torch.nn.functional.grid_sample,14,1,3,4,['enhancement']
56222,Ragged reduce_variance returns negative value & reduce_std -> NaN,30,1,3,4,['Bug']
56216,pod install command can't install TensorFlowLiteSwift 2.9.0 on MacBook Air M1,18,1,9,3,['Other']
56215,Document Dataset.repeat(0),8,1,5,4,['Bug']
56210,'Unable to map file to memory buffer' - audioClassifier runtimeError,17,1,7,5,['Bug']
56208,Model training error,17,1,7,5,['Bug']
